[ 2025-10-02 16:07:11,373 ] 161 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-10-02 16:07:13,648 ] 16 root - INFO - Initiate the data ingestion
[ 2025-10-02 16:07:15,649 ] 66 root - INFO - Performed train test split on the dataframe
[ 2025-10-02 16:07:15,649 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-02 16:07:15,651 ] 76 root - INFO - Exporting train and test file path.
[ 2025-10-02 16:07:15,776 ] 85 root - INFO - Exported train and test file path.
[ 2025-10-02 16:07:15,778 ] 18 root - INFO - Data initiation Completed
[ 2025-10-02 16:07:15,782 ] 22 root - INFO - Initiate the data validation
[ 2025-10-02 16:07:15,915 ] 31 root - INFO - Required number of columns:2
[ 2025-10-02 16:07:15,915 ] 32 root - INFO - Data frame has columns:31
[ 2025-10-02 16:07:15,915 ] 31 root - INFO - Required number of columns:2
[ 2025-10-02 16:07:15,915 ] 32 root - INFO - Data frame has columns:31
[ 2025-10-02 16:07:16,184 ] 24 root - INFO - data validation completed
