[ 2025-10-02 16:09:26,618 ] 161 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-10-02 16:09:29,989 ] 16 root - INFO - Initiate the data ingestion
[ 2025-10-02 16:09:32,253 ] 66 root - INFO - Performed train test split on the dataframe
[ 2025-10-02 16:09:32,253 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-02 16:09:32,254 ] 76 root - INFO - Exporting train and test file path.
[ 2025-10-02 16:09:32,420 ] 85 root - INFO - Exported train and test file path.
[ 2025-10-02 16:09:32,422 ] 18 root - INFO - Data initiation Completed
[ 2025-10-02 16:09:32,430 ] 22 root - INFO - Initiate the data validation
[ 2025-10-02 16:09:32,588 ] 31 root - INFO - Required number of columns:2
[ 2025-10-02 16:09:32,589 ] 32 root - INFO - Data frame has columns:31
[ 2025-10-02 16:09:32,589 ] 31 root - INFO - Required number of columns:2
[ 2025-10-02 16:09:32,589 ] 32 root - INFO - Data frame has columns:31
[ 2025-10-02 16:09:33,020 ] 24 root - INFO - data validation completed
