[ 2025-10-02 16:13:22,314 ] 161 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-10-02 16:13:25,430 ] 16 root - INFO - Initiate the data ingestion
[ 2025-10-02 16:13:28,147 ] 66 root - INFO - Performed train test split on the dataframe
[ 2025-10-02 16:13:28,147 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-02 16:13:28,147 ] 76 root - INFO - Exporting train and test file path.
[ 2025-10-02 16:13:28,283 ] 85 root - INFO - Exported train and test file path.
[ 2025-10-02 16:13:28,284 ] 18 root - INFO - Data initiation Completed
[ 2025-10-02 16:13:28,290 ] 22 root - INFO - Initiate the data validation
[ 2025-10-02 16:13:28,443 ] 31 root - INFO - Required number of columns:2
[ 2025-10-02 16:13:28,443 ] 32 root - INFO - Data frame has columns:31
[ 2025-10-02 16:13:28,443 ] 31 root - INFO - Required number of columns:2
[ 2025-10-02 16:13:28,443 ] 32 root - INFO - Data frame has columns:31
[ 2025-10-02 16:13:28,746 ] 24 root - INFO - data validation completed
