[ 2025-10-02 16:06:22,596 ] 161 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-10-02 16:06:25,692 ] 16 root - INFO - Initiate the data ingestion
[ 2025-10-02 16:06:28,108 ] 66 root - INFO - Performed train test split on the dataframe
[ 2025-10-02 16:06:28,108 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-02 16:06:28,109 ] 76 root - INFO - Exporting train and test file path.
[ 2025-10-02 16:06:28,243 ] 85 root - INFO - Exported train and test file path.
[ 2025-10-02 16:06:28,245 ] 18 root - INFO - Data initiation Completed
[ 2025-10-02 16:06:28,291 ] 22 root - INFO - Initiate the data validation
[ 2025-10-02 16:06:30,062 ] 31 root - INFO - Required number of columns:2
[ 2025-10-02 16:06:30,063 ] 32 root - INFO - Data frame has columns:31
[ 2025-10-02 16:06:30,063 ] 31 root - INFO - Required number of columns:2
[ 2025-10-02 16:06:30,063 ] 32 root - INFO - Data frame has columns:31
[ 2025-10-02 16:06:30,453 ] 24 root - INFO - data validation completed
